day,origin,v1_pnl,v1_n_trades,v1_direction,v1_bar,fold_idx,v0_pnl,v0_n_trades,v0_direction,v0_bar,pnl_delta,label,v0_chose,v1_chose,opening_gap_pct,session_open_dist,vwap_dist,first15_range_pct,first15_close_position,vix_roc,atm_iv,iv_percentile,realized_vol,vix_regime,sigma_pos,omar_range_pct,omar_mid_pos_units
2025-11-26,in_sample,-929.2786167903912,1,put,84,3,-929.2786167903912,1.0,put,84.0,0.0,0,True,True,0.004056990146636963,0.0013890929985791445,0.0007246878230944276,0.0017609877977520227,0.9891485571861267,-0.0022408964578062296,0.0809941440820694,0.0714285746216774,0.0003756604273803532,-0.33000001311302185,2.091542959213257,0.0006776422378607094,2.0704989433288574
2025-11-28,in_sample,-1129.576433670696,1,put,35,3,-1129.576433670696,1.0,put,35.0,0.0,0,True,True,0.0015796211082488298,0.0006225491524673998,-1.6121326552820392e-05,0.0019511423306539655,0.5270270109176636,-0.07815174013376236,0.09028404206037521,0.0714285746216774,0.0003686712880153209,-0.33000001311302185,0.19810394942760468,0.00048192631220445037,0.9164133667945862
2025-12-01,in_sample,-1123.4237462759525,1,put,109,3,-1123.4237462759525,1.0,put,109.0,0.0,0,True,True,-0.005282924044877291,-0.0008477153605781496,-0.00021064681641291827,0.00245793373323977,0.3939031660556793,-0.003370786551386118,0.09892440587282181,0.2857142984867096,0.000493636995088309,-0.33000001311302185,-0.5159571766853333,0.001256146701052785,-0.17485380172729492
2025-12-02,in_sample,640.100168299646,1,put,33,3,640.100168299646,1.0,put,33.0,0.0,0,True,True,0.002393373055383563,0.0008761216886341572,0.00019014217832591385,0.0019072832074016333,0.4777607321739197,0.0,0.08026251941919327,0.2857142984867096,0.000324471911881119,-0.33000001311302185,0.7124395370483398,0.0005177747225388885,1.2598869800567627
2025-12-03,in_sample,-1155.0770851967234,1,put,60,3,-1155.0770851967234,1.0,put,60.0,0.0,0,True,True,-0.0018366010626778007,0.0010348340729251504,0.0002795416512526572,0.002591482363641262,0.6374434232711792,-0.001186239649541676,0.10266347229480743,0.2142857164144516,0.0004815286956727505,-0.33000001311302185,0.21319836378097534,0.0008105711312964559,1.5379747152328491
2025-12-04,in_sample,-888.0270566509716,1,put,85,3,-888.0270566509716,1.0,put,85.0,0.0,0,True,True,0.002329753478989005,-0.002051832852885127,-0.0008936945232562721,0.0025582241360098124,0.19794638454914093,-0.0006172839784994721,0.08799950778484344,0.9285714030265808,0.000602357613388449,-0.33000001311302185,-1.6635146141052246,0.0006873494130559266,-2.485137939453125
2025-12-05,in_sample,1031.3499629642815,1,put,53,4,-937.089304115756,1.0,call,53.0,-1968.4392670800376,0,True,True,0.001219021389260888,0.0006345805595628917,-0.0003681591188069433,0.0018004040466621518,0.3524656295776367,0.009560229256749153,0.0801500603556633,0.0,0.0002721678465604782,-0.33000001311302185,-1.5692133903503418,0.0012895375257357955,-0.007900677621364594
2025-12-08,in_sample,2633.5499987713993,1,put,34,4,2633.5499987713993,1.0,put,34.0,0.0,0,True,True,0.0008924060966819525,-0.000602527114097029,-0.000254232989391312,0.0020797373726963997,0.4954513609409332,-0.0018248175038024783,0.06997446715831757,0.2142857164144516,0.00022480380721390247,-0.33000001311302185,-0.7603776454925537,0.000911067589186132,-0.6517571806907654
2025-12-09,in_sample,-659.6363343651773,1,put,38,4,-659.6363343651773,1.0,put,38.0,0.0,0,True,True,-0.0010558073408901691,0.0012206215178593993,0.00044886727118864655,0.0019199966918677092,0.6692014932632446,-0.00991831999272108,0.0733695924282074,0.0714285746216774,0.00029515306232497096,-0.33000001311302185,0.9115860462188721,0.0008234814740717411,0.9822695255279541
2025-12-10,in_sample,163.49996242299676,1,put,38,4,163.49996242299676,1.0,put,38.0,0.0,0,True,True,-0.0009984913049265742,0.0007545349071733654,0.000557962863240391,0.002627711510285735,0.7768502831459045,-0.0034403670579195023,0.1277042031288147,0.0714285746216774,0.0003608476836234331,-0.33000001311302185,1.2154655456542969,0.0008320355555042624,0.40685412287712097
