member,feature,horizon_minutes,sign,n_sessions,mean_ic,se,ci_low,ci_high,p_one_sided,maxT_p_one_sided,sign_stable_folds,control_mean_ic,control_maxT_p_one_sided,fold0_mean_ic,fold1_mean_ic,fold2_mean_ic,fold3_mean_ic,fold4_mean_ic
spx_vwap_gap_over_session_range|15m|+,spx_vwap_gap_over_session_range,15,+,213,-0.2258193907746423,0.012082540250326495,-0.2496366996708581,-0.2020020818784265,1.0,1.0,5,-0.0029276573090721556,1.0,-0.1922408821661658,-0.28340760687798955,-0.2234820008994164,-0.22932200316670404,-0.20954346888517597
spx_vwap_gap_over_session_range|30m|+,spx_vwap_gap_over_session_range,30,+,213,-0.2867205725650647,0.01562732414727424,-0.31752541978474313,-0.2559157253453863,1.0,1.0,5,-0.0022951592963793084,1.0,-0.2457662877104354,-0.3784482631380807,-0.2474825210415066,-0.29002984349322103,-0.25614788789434034
spx_vwap_gap_points|15m|+,spx_vwap_gap_points,15,+,213,-0.2908259407508549,0.01135933109501364,-0.31321764745648895,-0.2684342340452208,1.0,1.0,5,-0.004876436542168244,1.0,-0.28321952782011656,-0.3374969173586811,-0.27855994455700583,-0.3017218718666631,-0.27020012169186136
spx_vwap_gap_bps|15m|+,spx_vwap_gap_bps,15,+,213,-0.29089344059829614,0.011357236547694043,-0.3132810184966202,-0.26850586269997206,1.0,1.0,5,-0.004886089410093657,1.0,-0.2834358112937039,-0.33768270444717635,-0.2787259109161225,-0.30160508263048996,-0.27018532040424925
omar_clipped_neg3_pos3|15m|+,omar_clipped_neg3_pos3,15,+,213,-0.32455748695220465,0.01132455997146342,-0.34688065222755116,-0.30223432167685815,1.0,1.0,5,-0.00521675153806602,1.0,-0.3076477057032876,-0.3627740832642166,-0.31354712390163636,-0.35329390623531587,-0.30648558471406323
spx_vwap_gap_over_session_range|60m|+,spx_vwap_gap_over_session_range,60,+,213,-0.3637263649476061,0.017876892977293522,-0.3989656005159118,-0.32848712937930036,1.0,1.0,5,0.002259366851679602,1.0,-0.3228512822315928,-0.4266902718346109,-0.3116007380902038,-0.36665842766668466,-0.348642908278751
spx_vwap_gap_points|30m|+,spx_vwap_gap_points,30,+,213,-0.3741632021323045,0.014574498640426292,-0.40289270180164183,-0.3454337024629671,1.0,1.0,5,-0.0015956884168512177,1.0,-0.3667718658376608,-0.4479502420794215,-0.3430580274484803,-0.37846122104691987,-0.3480304164782378
spx_vwap_gap_bps|30m|+,spx_vwap_gap_bps,30,+,213,-0.37419773755454183,0.01457205470795117,-0.40292241970260667,-0.345473055406477,1.0,1.0,5,-0.0015778091724147209,1.0,-0.3669026789175506,-0.44805891668475967,-0.343184417255136,-0.37836810713220537,-0.3480192087577222
omar_clipped_neg3_pos3|30m|+,omar_clipped_neg3_pos3,30,+,213,-0.4187646029320599,0.014370277143419923,-0.4470915377121707,-0.39043766815194914,1.0,1.0,5,-0.0005316813709951541,1.0,-0.41197963076463756,-0.4935318240856592,-0.3930393398800158,-0.4283601954447639,-0.39114838418512254
spx_vwap_gap_bps|60m|+,spx_vwap_gap_bps,60,+,213,-0.47872675985218005,0.017066618889930222,-0.51236876935465,-0.4450847503497101,1.0,1.0,5,0.0017252050480120484,1.0,-0.47751873305975645,-0.5395751480594737,-0.44039352417215644,-0.4686418934797562,-0.4773376096965087
spx_vwap_gap_points|60m|+,spx_vwap_gap_points,60,+,213,-0.4787317562969435,0.01706521664149231,-0.5123710016634367,-0.44509251093045016,1.0,1.0,5,0.0017214038142170417,1.0,-0.4775024583976941,-0.5395722098167473,-0.44030593073504354,-0.46869859125140234,-0.4774060752562012
omar_clipped_neg3_pos3|60m|+,omar_clipped_neg3_pos3,60,+,213,-0.5217198901738915,0.016145360979878495,-0.553545900411125,-0.48989387993665817,1.0,1.0,5,-6.985688146054838e-05,1.0,-0.5245425646347356,-0.5918153860950329,-0.5053722654486575,-0.5035324765172233,-0.5064407928726171
