Mixed precision: bf16 enabled (Ampere+ GPU detected)
Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir), ATM-biased, no ETV
Training from scratch (v4: no warm-start).
Day-sequential batching: 70% sequential, 30% random (batch=16)

Budget: 240s | Batch: 512 | Lookback: 120
LR: 0.00025 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=0.5, dir=2.0, pnl=0.3
Exit override strength: 0.15 (gate targets flipped on exit bars)
Position state: flat for random batches, tracked for day-sequential

step 04800 ( 22.4%) | loss: 0.561961 | trade:0.91 call:0.95 put:0.05 | ATM:0.31 OTM:0.69 [seq] | lr: 1.93e-04 | left: 186s
step 04850 ( 22.7%) | loss: 0.763612 | trade:0.45 call:0.86 put:0.14 | ATM:0.41 OTM:0.59 [seq] | lr: 1.95e-04 | left: 186s
step 04900 ( 23.0%) | loss: 0.637690 | trade:0.46 call:0.83 put:0.17 | ATM:0.60 OTM:0.40 [seq] | lr: 1.98e-04 | left: 185s
step 04950 ( 23.2%) | loss: 0.372817 | trade:0.16 call:0.96 put:0.04 | ATM:0.94 OTM:0.06 [seq] | lr: 1.99e-04 | left: 184s
step 05000 ( 23.5%) | loss: 0.584954 | trade:0.83 call:0.74 put:0.26 | ATM:0.51 OTM:0.49 [seq] | lr: 2.01e-04 | left: 184s
step 05050 ( 23.8%) | loss: 0.626907 | trade:0.74 call:0.98 put:0.02 | ATM:0.97 OTM:0.03 [seq] | lr: 2.04e-04 | left: 183s
step 05100 ( 24.1%) | loss: 0.415235 | trade:0.00 call:0.81 put:0.19 | ATM:0.75 OTM:0.25 [seq] | lr: 2.06e-04 | left: 182s
step 05150 ( 24.4%) | loss: 0.625331 | trade:0.73 call:0.82 put:0.18 | ATM:0.54 OTM:0.46 [seq] | lr: 2.08e-04 | left: 181s
step 05200 ( 24.6%) | loss: 0.568278 | trade:0.00 call:0.88 put:0.12 | ATM:0.76 OTM:0.24 [seq] | lr: 2.10e-04 | left: 181s
step 05250 ( 24.8%) | loss: 0.626425 | trade:0.00 call:0.72 put:0.28 | ATM:0.51 OTM:0.49 [seq] | lr: 2.11e-04 | left: 180s
