Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + position state + curriculum learning
Training from scratch (v4: no warm-start).
Curriculum stages: 3 x 33% each

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

Starting curriculum stage 0: Conservative (OTM-only)
step 03600 ( 26.7%) | loss: 1.201716 | trade:0.35 call:0.64 put:0.36 | ATM:0.58 OTM:0.42 | stage:0 | lr: 1.50e-04 | left: 176s
step 03650 ( 26.9%) | loss: 1.178696 | trade:0.35 call:0.69 put:0.31 | ATM:0.56 OTM:0.44 | stage:0 | lr: 1.50e-04 | left: 175s
step 03700 ( 27.1%) | loss: 1.187032 | trade:0.37 call:0.66 put:0.34 | ATM:0.55 OTM:0.45 | stage:0 | lr: 1.50e-04 | left: 175s
step 03750 ( 27.3%) | loss: 1.209031 | trade:0.31 call:0.69 put:0.31 | ATM:0.62 OTM:0.38 | stage:0 | lr: 1.50e-04 | left: 175s
step 03800 ( 27.5%) | loss: 1.176135 | trade:0.39 call:0.60 put:0.40 | ATM:0.58 OTM:0.42 | stage:0 | lr: 1.50e-04 | left: 174s
step 03850 ( 27.7%) | loss: 1.163977 | trade:0.38 call:0.62 put:0.38 | ATM:0.57 OTM:0.43 | stage:0 | lr: 1.50e-04 | left: 173s
step 03900 ( 27.9%) | loss: 1.168065 | trade:0.43 call:0.61 put:0.39 | ATM:0.58 OTM:0.42 | stage:0 | lr: 1.50e-04 | left: 173s
step 03950 ( 28.2%) | loss: 1.152808 | trade:0.30 call:0.68 put:0.32 | ATM:0.58 OTM:0.42 | stage:0 | lr: 1.50e-04 | left: 172s
step 04000 ( 28.4%) | loss: 1.158897 | trade:0.38 call:0.63 put:0.37 | ATM:0.56 OTM:0.44 | stage:0 | lr: 1.50e-04 | left: 172s
step 04050 ( 28.8%) | loss: 1.174379 | trade:0.39 call:0.65 put:0.35 | ATM:0.55 OTM:0.45 | stage:0 | lr: 1.50e-04 | left: 171s
