seed,day,side,bar_index,pred_dollar_score,pred_return_score,pred_win_prob,pred_clean_entry_prob,pred_stopout_risk,decision_margin,sigma_pos,iv_percentile,hl,sigma_b,iv_b,cell_id
45,2025-11-06,call,73,0.1463455855846405,0.3704030513763428,0.45001503825187683,0.2513340413570404,0.2722567021846771,0.4216330349445343,-1.63209867477417,0.9117094278335571,-780.7984670457544,0,2,2
45,2025-11-14,put,112,0.1392148733139038,0.3404601514339447,0.45583799481391907,0.26543235778808594,0.2649890184402466,0.4227093458175659,1.7517077922821045,0.8926923274993896,-335.0155119024927,2,2,8
45,2025-11-24,put,115,0.3620300889015198,0.4194330871105194,0.48751556873321533,0.2969626784324646,0.24172991514205933,0.5475139617919922,1.7788655757904053,0.6107264757156372,76.93636380847205,2,2,8
45,2025-12-02,put,117,0.7198459506034851,0.3839927911758423,0.6174593567848206,0.28575947880744934,0.2872579097747803,0.5748175382614136,-2.4336087703704834,0.6928632259368896,-1017.8224677985933,0,2,2
45,2025-12-10,put,105,1.432104229927063,0.49574536085128784,0.7063207626342773,0.31005939841270447,0.25100165605545044,0.7948125600814819,0.9907694458961487,0.8765384554862976,-58.118844437280266,1,2,5
45,2025-12-23,call,92,-0.13359872996807098,0.15558332204818726,0.5034852027893066,0.3713352084159851,0.12189172208309174,0.5921115279197693,1.9917470216751099,0.0011538461549207568,902.0717358322487,2,0,6
45,2025-12-24,call,58,0.473003089427948,0.27230262756347656,0.6180700063705444,0.4197528660297394,0.09053870290517807,0.5696109533309937,1.3823686838150024,0.00029914529295638204,1441.6286645065074,2,0,6
45,2026-01-05,call,115,-0.243462935090065,0.1507023274898529,0.4945423901081085,0.35146674513816833,0.15789194405078888,0.5554940104484558,1.9211441278457642,0.06273504346609116,434.2421463502564,2,0,6
45,2026-01-09,put,102,0.569017767906189,0.33797675371170044,0.5794467926025391,0.3153268098831177,0.2301735281944275,0.5280566811561584,1.5070176124572754,0.25042736530303955,-93.37215830699839,2,1,7
45,2026-01-12,call,116,-0.1757313460111618,0.16510598361492157,0.4959160387516022,0.3518480658531189,0.18044957518577576,0.5517798662185669,1.453694462776184,0.10303419083356857,304.49165851822687,2,0,6
45,2026-01-30,put,110,0.6021119356155396,0.34452128410339355,0.5867533683776855,0.28758835792541504,0.2952950894832611,0.5373618006706238,-2.1920149326324463,0.7508119940757751,-1030.9318453723267,0,2,2
