day,bar_index,window_idx,rule,pnl,pred_score,label,v0_pnl,v1_pnl
2024-08-28,63,6,V0,5096.282605525106,0.0019336213627671192,0.0,5096.282605525106,5096.282605525106
2024-08-29,31,6,V1,-1008.3716565499436,0.7267626294896943,0.0,33.41249830424784,-1008.3716565499436
2024-09-04,33,6,V0,-470.2463534917089,0.0029194151824118815,0.0,-470.2463534917089,-470.2463534917089
2024-09-06,32,6,V0,3846.9111488892586,0.00015464979561566173,0.0,3846.9111488892586,3846.9111488892586
2024-09-09,77,6,V0,-974.6000382244588,0.00022552093701878827,0.0,-974.6000382244588,-974.6000382244588
2024-09-11,33,6,V0,-1029.8579922148149,0.00015467924543318196,0.0,-1029.8579922148149,-1029.8579922148149
2024-09-12,38,6,V0,-1074.7840917892754,0.006698789716289794,0.0,-1074.7840917892754,-1074.7840917892754
2024-09-13,32,6,V0,-995.5111348687892,0.06194777882519892,0.0,-995.5111348687892,-995.5111348687892
2024-09-16,57,6,V0,-972.2536229283868,0.00013906062578279027,0.0,-972.2536229283868,-972.2536229283868
2024-09-17,92,7,V0,2110.0995733428495,0.00031808895642231977,0.0,2110.0995733428495,2110.0995733428495
2024-09-20,33,7,V0,-904.1869164345404,0.000527910868366003,0.0,-904.1869164345404,-904.1869164345404
2024-09-23,33,7,V0,-616.0796568555886,0.09607938472914201,1.0,-616.0796568555886,-528.1499426300327
2024-09-27,57,7,V0,-884.1621965109669,0.029884703431519798,1.0,-884.1621965109669,854.1079846123308
2024-10-01,34,7,V0,-700.4691095021045,0.00038038437085227754,0.0,-700.4691095021045,-700.4691095021045
2024-10-10,33,7,V0,-707.3038199177328,0.0010889414381281511,0.0,-707.3038199177328,-707.3038199177328
2024-10-16,44,7,V0,-984.6455148068608,0.0001173246103105031,0.0,-984.6455148068608,-984.6455148068608
2024-10-17,30,7,V0,-769.7185927670614,0.00014909440815024722,0.0,-769.7185927670614,-769.7185927670614
2024-10-21,68,7,V0,-92.51375346369264,0.0010089026498858896,0.0,-92.51375346369264,-92.51375346369264
2024-10-22,33,7,V0,-968.9433943512464,0.0011914727098006216,0.0,-968.9433943512464,-968.9433943512464
2024-10-23,30,7,V0,4048.01097551287,0.00027914966083885344,0.0,4048.01097551287,4048.01097551287
2024-10-30,39,7,V0,884.6930272845495,3.3855977701239115e-05,0.0,884.6930272845495,884.6930272845495
2024-10-31,30,7,V0,1337.3950549371473,0.0002099553847600319,0.0,1337.3950549371473,1337.3950549371473
2024-11-05,90,7,V0,458.0750372625887,0.006243079339194966,0.0,458.0750372625887,-894.679232871572
2024-11-07,56,7,V0,131.80390300276412,0.027685069729592678,0.0,131.80390300276412,-203.2000183865428
2024-11-08,31,7,V0,-1006.785914643854,1.1443269533066548e-05,0.0,-1006.785914643854,-1006.785914643854
2024-11-12,30,7,V0,844.7882133312521,5.0227048087803554e-05,0.0,844.7882133312521,844.7882133312521
2024-11-13,39,7,V0,-981.7643050042648,0.013407320274005275,0.0,-981.7643050042648,-981.7643050042648
2024-11-14,38,7,V0,1450.685857400298,2.6074303527048854e-05,0.0,1450.685857400298,1450.685857400298
2024-11-15,30,7,V0,2444.231969243318,2.4882678810458432e-05,0.0,2444.231969243318,2444.231969243318
2024-11-20,31,7,V0,-987.5447034252315,0.3218777002316746,1.0,-987.5447034252315,-261.4000383501251
2024-11-21,50,7,V0,-1129.3732596183663,0.007897767169432565,0.0,-1129.3732596183663,-1129.3732596183663
2024-11-22,31,7,V0,-570.9450991704865,8.278860567116103e-05,0.0,-570.9450991704865,-570.9450991704865
2024-11-25,30,7,V0,804.4479149358428,0.00029063352548602524,0.0,804.4479149358428,804.4479149358428
2024-11-26,32,7,V0,-963.019314126738,0.004118957057960935,0.0,-963.019314126738,-963.019314126738
2024-11-27,33,7,V0,506.6021107067152,6.649419263510985e-05,0.0,506.6021107067152,506.6021107067152
2024-12-02,46,7,V0,-713.9200220051407,0.00010308858662094796,0.0,-713.9200220051407,-713.9200220051407
2024-12-03,36,7,V0,-384.8949148495164,0.0006296216557995638,0.0,-384.8949148495164,-384.8949148495164
2024-12-04,82,7,V0,-461.2225185425579,0.0007411685843363652,0.0,-461.2225185425579,-461.2225185425579
2024-12-09,39,7,V0,1012.9121627304032,5.0566590602870344e-05,0.0,1012.9121627304032,1012.9121627304032
2024-12-11,30,8,V0,775.2785553251061,0.04449600649611345,0.0,775.2785553251061,-952.475129992977
2024-12-13,33,8,V0,1140.319502607928,0.0007582709818473491,0.0,1140.319502607928,1140.319502607928
2024-12-16,35,8,V0,757.5200454998017,0.020832060047493505,0.0,757.5200454998017,-965.7358590552832
