Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + risk-aware curriculum
Risk curriculum: 4 stages, ruin weight=2.0
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

step 06000 ( 60.6%) | loss: 1.071620 | trade:0.36 call:0.59 put:0.41 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 95s
step 06050 ( 61.1%) | loss: 1.089500 | trade:0.35 call:0.59 put:0.41 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 93s
step 06100 ( 61.6%) | loss: 1.079546 | trade:0.31 call:0.55 put:0.45 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 92s
step 06150 ( 62.1%) | loss: 1.067758 | trade:0.29 call:0.60 put:0.40 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 91s
step 06200 ( 62.6%) | loss: 1.060022 | trade:0.32 call:0.53 put:0.47 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 90s
step 06250 ( 63.2%) | loss: 1.054681 | trade:0.36 call:0.66 put:0.34 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 88s
step 06300 ( 63.7%) | loss: 1.061250 | trade:0.36 call:0.60 put:0.40 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 87s
step 06350 ( 64.2%) | loss: 1.068765 | trade:0.31 call:0.64 put:0.36 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 86s
step 06400 ( 64.7%) | loss: 1.079810 | trade:0.35 call:0.60 put:0.40 | ATM:0.69 OTM:0.31 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 85s
step 06450 ( 65.2%) | loss: 1.058314 | trade:0.32 call:0.51 put:0.49 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 83s
step 06500 ( 65.7%) | loss: 1.059755 | trade:0.31 call:0.53 put:0.47 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 82s
step 06550 ( 66.3%) | loss: 1.063699 | trade:0.37 call:0.60 put:0.40 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 81s
step 06600 ( 66.8%) | loss: 1.056152 | trade:0.37 call:0.59 put:0.41 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 80s
step 06650 ( 67.3%) | loss: 1.045115 | trade:0.38 call:0.63 put:0.37 | ATM:0.69 OTM:0.31 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 78s
step 06700 ( 67.8%) | loss: 1.063161 | trade:0.35 call:0.67 put:0.33 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | stage:3 risk:0.6x | left: 77s
