date,fold,side,entry_mid,entry_cost_per_contract,contracts,equity_before,net_pnl_dollars_per_contract,trade_pnl_dollars,equity_after
2026-01-08,4,P,11.649999618530273,1164.9999618530273,4,2012700.3138600085,-264.3199234008789,-1057.2796936035156,2011643.034166405
2026-01-09,4,C,9.5,950.0,5,2011643.034166405,272.4000190734863,1362.0000953674316,2013005.0342617724
2026-01-12,4,C,9.399999618530273,939.9999618530273,5,2013005.0342617724,-77.51998062133788,-387.5999031066894,2012617.4343586657
2026-01-14,4,P,13.0,1300.0,3,2012617.4343586657,-127.79998092651368,-383.39994277954105,2012234.0344158863
2026-01-20,4,C,16.399999618530273,1639.9999618530273,3,2012234.0344158863,326.8799621582031,980.6398864746093,2013214.674302361
2026-01-21,4,C,14.770000457763672,1477.0000457763672,3,2013214.674302361,-188.81604614257813,-566.4481384277344,2012648.2261639333
2026-01-22,4,C,8.329999923706055,832.9999923706055,6,2012648.2261639333,-97.99798278808593,-587.9878967285156,2012060.2382672047
2026-01-23,4,C,11.0,1100.0,4,2012060.2382672047,181.19996185302733,724.7998474121093,2012785.0381146169
2026-01-26,4,C,7.800000190734863,780.0000190734863,6,2012785.0381146169,-104.68000011444092,-628.0800006866455,2012156.9581139302
2026-01-29,4,C,17.899999618530273,1789.9999618530273,2,2012156.9581139302,452.6800079345703,905.3600158691406,2013062.3181297993
2026-01-30,4,P,16.600000381469727,1660.0000381469727,3,2013062.3181297993,476.7199615478516,1430.1598846435547,2014492.4780144428
2026-02-02,4,C,8.899999618530273,889.9999618530273,5,2014492.4780144428,25.87999267578125,129.39996337890625,2014621.8779778217
2026-02-03,4,P,13.180000305175781,1318.0000305175781,3,2014621.8779778217,114.09193115234375,342.2757934570312,2014964.1537712787
2026-02-04,4,C,17.399999618530273,1739.9999618530273,2,2014964.1537712787,-283.9199806213379,-567.8399612426758,2014396.313810036
2026-02-05,4,C,21.200000762939453,2120.0000762939453,2,2014396.313810036,246.5166465932846,493.0332931865692,2014889.3471032225
2026-02-06,4,P,23.700000762939453,2370.0000762939453,2,2014889.3471032225,-758.9601531982422,-1517.9203063964844,2013371.426796826
2026-02-09,4,C,15.100000381469727,1510.0000381469727,3,2013371.426796826,376.91993865966793,1130.7598159790039,2014502.1866128051
2026-02-10,4,P,11.5,1150.0,4,2014502.1866128051,-16.90003814697266,-67.60015258789063,2014434.5864602171
2026-02-11,4,C,11.699999809265137,1169.9999809265137,4,2014434.5864602171,-97.01996173858643,-388.0798469543457,2014046.5066132627
2026-02-12,4,C,13.600000381469727,1360.0000381469727,3,2014046.5066132627,169.1199234008789,507.3597702026367,2014553.8663834652
2026-02-13,4,P,27.200000762939453,2720.0000762939453,1,2014553.8663834652,-463.065753805542,-463.065753805542,2014090.8006296598
2026-02-17,4,C,17.100000381469727,1710.0000381469727,2,2014090.8006296598,2139.1242087534424,4278.248417506885,2018369.0490471667
2026-02-18,4,C,16.100000381469727,1610.0000381469727,3,2018369.0490471667,157.11988525390623,471.3596557617187,2018840.4087029283
2026-02-19,4,C,15.800000190734863,1580.0000190734863,3,2018840.4087029283,209.9511805565834,629.8535416697503,2019470.262244598
2026-02-23,4,P,17.700000762939453,1770.0000762939453,2,2019470.262244598,-121.25723891072273,-242.51447782144547,2019227.7477667765
2026-02-24,4,C,17.399999618530273,1739.9999618530273,2,2019227.7477667765,845.2448381053924,1690.4896762107849,2020918.2374429873
2026-02-25,4,P,12.5,1250.0,4,2020918.2374429873,90.00000000000001,360.00000000000006,2021278.2374429873
2026-02-26,4,C,11.350000381469727,1135.0000381469727,4,2021278.2374429873,-161.81001930236818,-647.2400772094727,2020630.9973657778
2026-02-27,4,C,20.739999771118164,2073.9999771118164,2,2020630.9973657778,611.4125713116837,1222.8251426233674,2021853.8225084012
2026-03-03,4,P,19.06999969482422,1906.9999694824219,2,2021853.8225084012,20.87147226461888,41.74294452923776,2021895.5654529305
2026-03-04,4,C,19.399999618530273,1939.9999618530273,2,2021895.5654529305,-506.45116193656924,-1012.9023238731385,2020882.6631290573
