Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 149,833
Architecture: v4 momentum-aware two-head (gate+dir) with trend-following loss
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Momentum loss weight: 1.5x
Label smoothing: gate=0.05 dir=0.05

step 04300 ( 49.8%) | loss: 0.837953 | trade:0.55 call:0.76 put:0.24 | ATM:0.60 OTM:0.40 mom:0.77 | lr: 1.50e-04 | left: 121s
step 04350 ( 50.4%) | loss: 0.823417 | trade:0.49 call:0.80 put:0.20 | ATM:0.68 OTM:0.32 mom:0.76 | lr: 1.50e-04 | left: 119s
step 04400 ( 51.0%) | loss: 0.837378 | trade:0.51 call:0.78 put:0.22 | ATM:0.60 OTM:0.40 mom:0.72 | lr: 1.50e-04 | left: 118s
step 04450 ( 51.6%) | loss: 0.799623 | trade:0.53 call:0.74 put:0.26 | ATM:0.64 OTM:0.36 mom:0.68 | lr: 1.50e-04 | left: 116s
step 04500 ( 52.2%) | loss: 0.833809 | trade:0.54 call:0.74 put:0.26 | ATM:0.67 OTM:0.33 mom:0.66 | lr: 1.50e-04 | left: 115s
step 04550 ( 52.8%) | loss: 0.807522 | trade:0.51 call:0.72 put:0.28 | ATM:0.60 OTM:0.40 mom:0.75 | lr: 1.50e-04 | left: 113s
step 04600 ( 53.3%) | loss: 0.828070 | trade:0.54 call:0.75 put:0.25 | ATM:0.61 OTM:0.39 mom:0.71 | lr: 1.50e-04 | left: 112s
step 04650 ( 53.9%) | loss: 0.797899 | trade:0.50 call:0.74 put:0.26 | ATM:0.63 OTM:0.37 mom:0.70 | lr: 1.50e-04 | left: 111s
step 04700 ( 54.5%) | loss: 0.820693 | trade:0.56 call:0.75 put:0.25 | ATM:0.64 OTM:0.36 mom:0.75 | lr: 1.50e-04 | left: 109s
step 04750 ( 55.1%) | loss: 0.866298 | trade:0.51 call:0.73 put:0.27 | ATM:0.62 OTM:0.38 mom:0.67 | lr: 1.50e-04 | left: 108s
step 04800 ( 55.6%) | loss: 0.803789 | trade:0.52 call:0.74 put:0.26 | ATM:0.58 OTM:0.42 mom:0.68 | lr: 1.50e-04 | left: 106s
step 04850 ( 56.2%) | loss: 0.816478 | trade:0.54 call:0.73 put:0.27 | ATM:0.64 OTM:0.36 mom:0.73 | lr: 1.50e-04 | left: 105s
step 04900 ( 56.8%) | loss: 0.792655 | trade:0.47 call:0.79 put:0.21 | ATM:0.71 OTM:0.29 mom:0.77 | lr: 1.50e-04 | left: 104s
step 04950 ( 57.4%) | loss: 0.836393 | trade:0.53 call:0.72 put:0.28 | ATM:0.60 OTM:0.40 mom:0.63 | lr: 1.50e-04 | left: 102s
step 05000 ( 57.9%) | loss: 0.830712 | trade:0.52 call:0.72 put:0.28 | ATM:0.68 OTM:0.32 mom:0.64 | lr: 1.50e-04 | left: 101s
step 05050 ( 58.4%) | loss: 0.800438 | trade:0.51 call:0.78 put:0.22 | ATM:0.60 OTM:0.40 mom:0.77 | lr: 1.50e-04 | left: 100s
step 05100 ( 58.6%) | loss: 0.825933 | trade:0.50 call:0.78 put:0.22 | ATM:0.65 OTM:0.35 mom:0.64 | lr: 1.50e-04 | left: 99s
step 05150 ( 58.9%) | loss: 0.793579 | trade:0.55 call:0.70 put:0.30 | ATM:0.66 OTM:0.34 mom:0.60 | lr: 1.50e-04 | left: 99s
step 05200 ( 59.3%) | loss: 0.808954 | trade:0.49 call:0.75 put:0.25 | ATM:0.66 OTM:0.34 mom:0.65 | lr: 1.50e-04 | left: 98s
step 05250 ( 59.5%) | loss: 0.777238 | trade:0.48 call:0.78 put:0.22 | ATM:0.70 OTM:0.30 mom:0.73 | lr: 1.50e-04 | left: 97s
step 05300 ( 59.7%) | loss: 0.807852 | trade:0.49 call:0.82 put:0.18 | ATM:0.63 OTM:0.37 mom:0.72 | lr: 1.50e-04 | left: 97s
step 05350 ( 60.0%) | loss: 0.826246 | trade:0.49 call:0.82 put:0.18 | ATM:0.70 OTM:0.30 mom:0.70 | lr: 1.50e-04 | left: 96s
step 05400 ( 60.2%) | loss: 0.797865 | trade:0.57 call:0.72 put:0.28 | ATM:0.57 OTM:0.43 mom:0.71 | lr: 1.50e-04 | left: 96s
step 05450 ( 60.4%) | loss: 0.766951 | trade:0.51 call:0.71 put:0.29 | ATM:0.61 OTM:0.39 mom:0.69 | lr: 1.50e-04 | left: 95s
step 05500 ( 60.6%) | loss: 0.790626 | trade:0.50 call:0.69 put:0.31 | ATM:0.64 OTM:0.36 mom:0.69 | lr: 1.50e-04 | left: 94s
step 05550 ( 60.9%) | loss: 0.801020 | trade:0.51 call:0.74 put:0.26 | ATM:0.73 OTM:0.27 mom:0.73 | lr: 1.50e-04 | left: 94s
step 05600 ( 61.1%) | loss: 0.773502 | trade:0.51 call:0.84 put:0.16 | ATM:0.69 OTM:0.31 mom:0.80 | lr: 1.50e-04 | left: 93s
step 05650 ( 61.4%) | loss: 0.780673 | trade:0.51 call:0.80 put:0.20 | ATM:0.72 OTM:0.28 mom:0.80 | lr: 1.50e-04 | left: 93s
step 05700 ( 61.6%) | loss: 0.782076 | trade:0.57 call:0.76 put:0.24 | ATM:0.60 OTM:0.40 mom:0.74 | lr: 1.50e-04 | left: 92s
step 05750 ( 61.9%) | loss: 0.761345 | trade:0.52 call:0.72 put:0.28 | ATM:0.64 OTM:0.36 mom:0.71 | lr: 1.50e-04 | left: 92s
step 05800 ( 62.2%) | loss: 0.768469 | trade:0.50 call:0.77 put:0.23 | ATM:0.68 OTM:0.32 mom:0.73 | lr: 1.50e-04 | left: 91s
step 05850 ( 62.6%) | loss: 0.796280 | trade:0.50 call:0.78 put:0.22 | ATM:0.64 OTM:0.36 mom:0.65 | lr: 1.50e-04 | left: 90s
step 05900 ( 62.8%) | loss: 0.776596 | trade:0.54 call:0.77 put:0.23 | ATM:0.64 OTM:0.36 mom:0.72 | lr: 1.50e-04 | left: 89s
step 05950 ( 63.1%) | loss: 0.756610 | trade:0.49 call:0.67 put:0.33 | ATM:0.66 OTM:0.34 mom:0.62 | lr: 1.50e-04 | left: 89s
step 06000 ( 63.3%) | loss: 0.775389 | trade:0.54 call:0.74 put:0.26 | ATM:0.66 OTM:0.34 mom:0.72 | lr: 1.50e-04 | left: 88s
step 06050 ( 63.6%) | loss: 0.789453 | trade:0.50 call:0.75 put:0.25 | ATM:0.67 OTM:0.33 mom:0.64 | lr: 1.50e-04 | left: 87s
step 06100 ( 63.8%) | loss: 0.786831 | trade:0.49 call:0.73 put:0.27 | ATM:0.69 OTM:0.31 mom:0.72 | lr: 1.50e-04 | left: 87s
step 06150 ( 64.2%) | loss: 0.786085 | trade:0.47 call:0.75 put:0.25 | ATM:0.65 OTM:0.35 mom:0.70 | lr: 1.50e-04 | left: 86s
step 06200 ( 64.7%) | loss: 0.786353 | trade:0.51 call:0.72 put:0.28 | ATM:0.66 OTM:0.34 mom:0.64 | lr: 1.50e-04 | left: 85s
step 06250 ( 65.1%) | loss: 0.768930 | trade:0.53 call:0.80 put:0.20 | ATM:0.70 OTM:0.30 mom:0.79 | lr: 1.50e-04 | left: 84s
step 06300 ( 65.3%) | loss: 0.769881 | trade:0.52 call:0.71 put:0.29 | ATM:0.62 OTM:0.38 mom:0.66 | lr: 1.50e-04 | left: 83s
step 06350 ( 65.6%) | loss: 0.756291 | trade:0.53 call:0.82 put:0.18 | ATM:0.67 OTM:0.33 mom:0.73 | lr: 1.50e-04 | left: 83s
step 06400 ( 66.0%) | loss: 0.756000 | trade:0.50 call:0.74 put:0.26 | ATM:0.71 OTM:0.29 mom:0.65 | lr: 1.50e-04 | left: 82s
step 06450 ( 66.6%) | loss: 0.746464 | trade:0.52 call:0.74 put:0.26 | ATM:0.61 OTM:0.39 mom:0.75 | lr: 1.50e-04 | left: 80s
step 06500 ( 67.2%) | loss: 0.753931 | trade:0.47 call:0.69 put:0.31 | ATM:0.68 OTM:0.32 mom:0.59 | lr: 1.50e-04 | left: 79s
step 06550 ( 67.8%) | loss: 0.754989 | trade:0.54 call:0.74 put:0.26 | ATM:0.60 OTM:0.40 mom:0.67 | lr: 1.50e-04 | left: 77s
step 06600 ( 68.3%) | loss: 0.753415 | trade:0.53 call:0.70 put:0.30 | ATM:0.65 OTM:0.35 mom:0.54 | lr: 1.50e-04 | left: 76s
step 06650 ( 68.7%) | loss: 0.744621 | trade:0.54 call:0.76 put:0.24 | ATM:0.69 OTM:0.31 mom:0.66 | lr: 1.50e-04 | left: 75s
step 06700 ( 69.0%) | loss: 0.737593 | trade:0.53 call:0.81 put:0.19 | ATM:0.65 OTM:0.35 mom:0.75 | lr: 1.50e-04 | left: 74s
step 06750 ( 69.6%) | loss: 0.757793 | trade:0.55 call:0.79 put:0.21 | ATM:0.62 OTM:0.38 mom:0.77 | lr: 1.50e-04 | left: 73s
step 06800 ( 70.1%) | loss: 0.761525 | trade:0.51 call:0.72 put:0.28 | ATM:0.65 OTM:0.35 mom:0.67 | lr: 1.50e-04 | left: 72s
step 06850 ( 70.7%) | loss: 0.731601 | trade:0.50 call:0.78 put:0.22 | ATM:0.66 OTM:0.34 mom:0.75 | lr: 1.50e-04 | left: 70s
step 06900 ( 71.3%) | loss: 0.740506 | trade:0.51 call:0.75 put:0.25 | ATM:0.63 OTM:0.37 mom:0.74 | lr: 1.49e-04 | left: 69s
step 06950 ( 71.9%) | loss: 0.737216 | trade:0.47 call:0.73 put:0.27 | ATM:0.76 OTM:0.24 mom:0.55 | lr: 1.49e-04 | left: 67s
step 07000 ( 72.4%) | loss: 0.747141 | trade:0.50 call:0.76 put:0.24 | ATM:0.62 OTM:0.38 mom:0.65 | lr: 1.48e-04 | left: 66s
step 07050 ( 73.0%) | loss: 0.747531 | trade:0.50 call:0.75 put:0.25 | ATM:0.68 OTM:0.32 mom:0.70 | lr: 1.46e-04 | left: 65s
step 07100 ( 73.6%) | loss: 0.748766 | trade:0.49 call:0.77 put:0.23 | ATM:0.69 OTM:0.31 mom:0.67 | lr: 1.45e-04 | left: 63s
step 07150 ( 73.9%) | loss: 0.722176 | trade:0.50 call:0.75 put:0.25 | ATM:0.65 OTM:0.35 mom:0.73 | lr: 1.44e-04 | left: 63s
step 07200 ( 74.4%) | loss: 0.725857 | trade:0.51 call:0.71 put:0.29 | ATM:0.65 OTM:0.35 mom:0.65 | lr: 1.42e-04 | left: 61s
