Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + curriculum learning
Curriculum: 4 stages with 2.0x conservative boost
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

step 04350 ( 30.3%) | loss: 1.119051 | trade:0.30 call:0.66 put:0.34 | ATM:0.62 OTM:0.38 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 167s
step 04400 ( 30.5%) | loss: 1.138385 | trade:0.33 call:0.66 put:0.34 | ATM:0.57 OTM:0.43 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 167s
step 04450 ( 30.7%) | loss: 1.123288 | trade:0.36 call:0.63 put:0.37 | ATM:0.58 OTM:0.42 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 166s
step 04500 ( 31.0%) | loss: 1.128177 | trade:0.35 call:0.63 put:0.37 | ATM:0.62 OTM:0.38 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 166s
step 04550 ( 31.2%) | loss: 1.109793 | trade:0.32 call:0.61 put:0.39 | ATM:0.57 OTM:0.43 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 165s
step 04600 ( 31.4%) | loss: 1.125287 | trade:0.33 call:0.66 put:0.34 | ATM:0.55 OTM:0.45 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 165s
step 04650 ( 31.6%) | loss: 1.111254 | trade:0.34 call:0.62 put:0.38 | ATM:0.58 OTM:0.42 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 164s
step 04700 ( 31.8%) | loss: 1.121975 | trade:0.39 call:0.65 put:0.35 | ATM:0.61 OTM:0.39 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 164s
step 04750 ( 32.2%) | loss: 1.149081 | trade:0.31 call:0.63 put:0.37 | ATM:0.61 OTM:0.39 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 163s
step 04800 ( 32.7%) | loss: 1.103760 | trade:0.38 call:0.61 put:0.39 | ATM:0.55 OTM:0.45 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 162s
step 04850 ( 33.2%) | loss: 1.113575 | trade:0.37 call:0.62 put:0.38 | ATM:0.59 OTM:0.41 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 160s
step 04900 ( 33.7%) | loss: 1.102806 | trade:0.31 call:0.64 put:0.36 | ATM:0.64 OTM:0.36 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 159s
step 04950 ( 33.9%) | loss: 1.148634 | trade:0.34 call:0.63 put:0.37 | ATM:0.59 OTM:0.41 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 159s
step 05000 ( 34.1%) | loss: 1.121554 | trade:0.36 call:0.61 put:0.39 | ATM:0.60 OTM:0.40 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 158s
step 05050 ( 34.6%) | loss: 1.109909 | trade:0.33 call:0.64 put:0.36 | ATM:0.53 OTM:0.47 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 157s
step 05100 ( 35.1%) | loss: 1.119929 | trade:0.31 call:0.66 put:0.34 | ATM:0.64 OTM:0.36 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 156s
step 05150 ( 35.6%) | loss: 1.095483 | trade:0.38 call:0.60 put:0.40 | ATM:0.63 OTM:0.37 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 155s
step 05200 ( 36.1%) | loss: 1.097852 | trade:0.31 call:0.66 put:0.34 | ATM:0.61 OTM:0.39 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 153s
step 05250 ( 36.6%) | loss: 1.100435 | trade:0.30 call:0.68 put:0.32 | ATM:0.66 OTM:0.34 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 152s
step 05300 ( 37.0%) | loss: 1.100815 | trade:0.30 call:0.67 put:0.33 | ATM:0.61 OTM:0.39 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 151s
step 05350 ( 37.4%) | loss: 1.127312 | trade:0.26 call:0.68 put:0.32 | ATM:0.66 OTM:0.34 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 150s
step 05400 ( 37.9%) | loss: 1.104591 | trade:0.39 call:0.62 put:0.38 | ATM:0.53 OTM:0.47 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 149s
step 05450 ( 38.4%) | loss: 1.072198 | trade:0.37 call:0.58 put:0.42 | ATM:0.59 OTM:0.41 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 148s
step 05500 ( 38.9%) | loss: 1.091165 | trade:0.34 call:0.58 put:0.42 | ATM:0.61 OTM:0.39 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 147s
step 05550 ( 39.1%) | loss: 1.107187 | trade:0.33 call:0.61 put:0.39 | ATM:0.64 OTM:0.36 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 146s
step 05600 ( 39.4%) | loss: 1.085467 | trade:0.34 call:0.66 put:0.34 | ATM:0.64 OTM:0.36 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 146s
step 05650 ( 39.8%) | loss: 1.095822 | trade:0.32 call:0.66 put:0.34 | ATM:0.66 OTM:0.34 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 144s
step 05700 ( 40.3%) | loss: 1.100576 | trade:0.40 call:0.65 put:0.35 | ATM:0.58 OTM:0.42 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 143s
step 05750 ( 40.8%) | loss: 1.070651 | trade:0.34 call:0.62 put:0.38 | ATM:0.60 OTM:0.40 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 142s
step 05800 ( 41.3%) | loss: 1.095016 | trade:0.35 call:0.67 put:0.33 | ATM:0.65 OTM:0.35 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 141s
step 05850 ( 41.8%) | loss: 1.081436 | trade:0.33 call:0.63 put:0.37 | ATM:0.59 OTM:0.41 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 140s
step 05900 ( 42.1%) | loss: 1.097191 | trade:0.35 call:0.65 put:0.35 | ATM:0.64 OTM:0.36 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 139s
step 05950 ( 42.3%) | loss: 1.065982 | trade:0.34 call:0.56 put:0.44 | ATM:0.63 OTM:0.37 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 138s
step 06000 ( 42.8%) | loss: 1.083096 | trade:0.35 call:0.64 put:0.36 | ATM:0.62 OTM:0.38 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 137s
step 06050 ( 43.4%) | loss: 1.106486 | trade:0.35 call:0.63 put:0.37 | ATM:0.61 OTM:0.39 | stage:1 thresh:0.10 bias:2.00 | lr: 1.50e-04 | left: 136s
