Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 152,489
Architecture: v5 three-head (gate+dir+size) + position state
Training from scratch (v5: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.0003 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05
Size loss weight: 0.3

step 06400 ( 64.3%) | loss: 1.021226 | trade:0.32 call:0.69 put:0.31 | ATM:0.67 OTM:0.33 | size:0.51 | lr: 3.00e-04 | left: 86s
step 06450 ( 64.8%) | loss: 1.019532 | trade:0.33 call:0.65 put:0.35 | ATM:0.61 OTM:0.39 | size:0.51 | lr: 3.00e-04 | left: 84s
step 06500 ( 65.4%) | loss: 1.001112 | trade:0.32 call:0.61 put:0.39 | ATM:0.64 OTM:0.36 | size:0.52 | lr: 3.00e-04 | left: 83s
step 06550 ( 65.9%) | loss: 1.002447 | trade:0.36 call:0.65 put:0.35 | ATM:0.56 OTM:0.44 | size:0.52 | lr: 3.00e-04 | left: 82s
step 06600 ( 66.5%) | loss: 1.009237 | trade:0.39 call:0.50 put:0.50 | ATM:0.61 OTM:0.39 | size:0.51 | lr: 3.00e-04 | left: 80s
step 06650 ( 67.1%) | loss: 0.962813 | trade:0.31 call:0.64 put:0.36 | ATM:0.59 OTM:0.41 | size:0.51 | lr: 3.00e-04 | left: 79s
step 06700 ( 67.6%) | loss: 0.986877 | trade:0.35 call:0.60 put:0.40 | ATM:0.65 OTM:0.35 | size:0.52 | lr: 3.00e-04 | left: 78s
step 06750 ( 68.2%) | loss: 0.989172 | trade:0.35 call:0.55 put:0.45 | ATM:0.62 OTM:0.38 | size:0.52 | lr: 3.00e-04 | left: 76s
step 06800 ( 68.6%) | loss: 0.999537 | trade:0.32 call:0.69 put:0.31 | ATM:0.64 OTM:0.36 | size:0.51 | lr: 3.00e-04 | left: 75s
step 06850 ( 68.8%) | loss: 1.013362 | trade:0.29 call:0.63 put:0.37 | ATM:0.63 OTM:0.37 | size:0.51 | lr: 3.00e-04 | left: 75s
step 06900 ( 69.1%) | loss: 0.993581 | trade:0.34 call:0.64 put:0.36 | ATM:0.67 OTM:0.33 | size:0.52 | lr: 3.00e-04 | left: 74s
step 06950 ( 69.4%) | loss: 0.976806 | trade:0.33 call:0.64 put:0.36 | ATM:0.62 OTM:0.38 | size:0.51 | lr: 3.00e-04 | left: 73s
step 07000 ( 69.7%) | loss: 0.999845 | trade:0.32 call:0.69 put:0.31 | ATM:0.51 OTM:0.49 | size:0.51 | lr: 3.00e-04 | left: 73s
step 07050 ( 70.2%) | loss: 0.974649 | trade:0.34 call:0.58 put:0.42 | ATM:0.54 OTM:0.46 | size:0.52 | lr: 3.00e-04 | left: 72s
step 07100 ( 70.4%) | loss: 0.979560 | trade:0.36 call:0.62 put:0.38 | ATM:0.55 OTM:0.45 | size:0.51 | lr: 3.00e-04 | left: 71s
step 07150 ( 70.6%) | loss: 0.998648 | trade:0.36 call:0.60 put:0.40 | ATM:0.57 OTM:0.43 | size:0.52 | lr: 3.00e-04 | left: 71s
step 07200 ( 70.9%) | loss: 0.991261 | trade:0.31 call:0.54 put:0.46 | ATM:0.64 OTM:0.36 | size:0.52 | lr: 2.99e-04 | left: 70s
step 07250 ( 71.2%) | loss: 0.985316 | trade:0.31 call:0.57 put:0.43 | ATM:0.61 OTM:0.39 | size:0.52 | lr: 2.99e-04 | left: 69s
